startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5745548379688399, terminated: False, truncated: False
distance_to_goal: 1.5734194494753972, terminated: False, truncated: False
distance_to_goal: 1.5729392953740817, terminated: False, truncated: False
distance_to_goal: 1.5719161848366374, terminated: False, truncated: False
distance_to_goal: 1.5708483705368324, terminated: False, truncated: False
distance_to_goal: 1.5705132917048068, terminated: False, truncated: False
distance_to_goal: 1.5703131280421565, terminated: False, truncated: False
distance_to_goal: 1.570129158672355, terminated: False, truncated: False
distance_to_goal: 1.5707566660460384, terminated: False, truncated: False
distance_to_goal: 1.5709773575382213, terminated: False, truncated: False
distance_to_goal: 1.571105883648089, terminated: False, truncated: False
distance_to_goal: 1.571488373318436, terminated: False, truncated: False
distance_to_goal: 1.5730373227875063, terminated: False, truncated: False
distance_to_goal: 1.5741172170838318, terminated: False, truncated: False
distance_to_goal: 1.574061233490475, terminated: False, truncated: False
distance_to_goal: 1.5737086013849455, terminated: False, truncated: False
distance_to_goal: 1.5723177379459643, terminated: False, truncated: False
distance_to_goal: 1.5710603943301598, terminated: False, truncated: False
distance_to_goal: 1.570477929170866, terminated: False, truncated: False
distance_to_goal: 1.5699170515090202, terminated: False, truncated: False
distance_to_goal: 1.5707558470924878, terminated: False, truncated: False
distance_to_goal: 1.5716062506538053, terminated: False, truncated: False
distance_to_goal: 1.5736821859666736, terminated: False, truncated: False
distance_to_goal: 1.5746300641277975, terminated: False, truncated: False
distance_to_goal: 1.5751090808066077, terminated: False, truncated: False
distance_to_goal: 1.5757378774844653, terminated: False, truncated: False
distance_to_goal: 1.5756212296167285, terminated: False, truncated: False
distance_to_goal: 1.5754140284155782, terminated: False, truncated: False
distance_to_goal: 1.5760263754009485, terminated: False, truncated: False
distance_to_goal: 1.5752761958808115, terminated: False, truncated: False
distance_to_goal: 1.5736177370007076, terminated: False, truncated: False
distance_to_goal: 1.571383040955233, terminated: False, truncated: False
distance_to_goal: 1.5705592948743972, terminated: False, truncated: False
distance_to_goal: 1.5698284334256645, terminated: False, truncated: False
distance_to_goal: 1.569174152725237, terminated: False, truncated: False
distance_to_goal: 1.5683382200493599, terminated: False, truncated: False
distance_to_goal: 1.5687975747160852, terminated: False, truncated: False
distance_to_goal: 1.5700102474771613, terminated: False, truncated: False
distance_to_goal: 1.570093762747893, terminated: False, truncated: False
distance_to_goal: 1.569109605713878, terminated: False, truncated: False
distance_to_goal: 1.567886871707838, terminated: False, truncated: False
distance_to_goal: 1.5676335743872798, terminated: False, truncated: False
distance_to_goal: 1.5672555092987452, terminated: False, truncated: False
distance_to_goal: 1.5674873940437082, terminated: False, truncated: False
