/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5454435953477281, terminated: False, truncated: False
distance_to_goal: 1.5478783065529074, terminated: False, truncated: False
distance_to_goal: 1.548913161205155, terminated: False, truncated: False
distance_to_goal: 1.5488759365972604, terminated: False, truncated: False
distance_to_goal: 1.5489563846052965, terminated: False, truncated: False
distance_to_goal: 1.549676836852073, terminated: False, truncated: False
distance_to_goal: 1.5509650000008706, terminated: False, truncated: False
distance_to_goal: 1.552942757121052, terminated: False, truncated: False
distance_to_goal: 1.5537902893034488, terminated: False, truncated: False
distance_to_goal: 1.5555568219276479, terminated: False, truncated: False
distance_to_goal: 1.5569400393597796, terminated: False, truncated: False
distance_to_goal: 1.5589764791860843, terminated: False, truncated: False
distance_to_goal: 1.5604172036108983, terminated: False, truncated: False
distance_to_goal: 1.5611484596736036, terminated: False, truncated: False
distance_to_goal: 1.5620346478474392, terminated: False, truncated: False
distance_to_goal: 1.5631988792484361, terminated: False, truncated: False
distance_to_goal: 1.5645075908673027, terminated: False, truncated: False
distance_to_goal: 1.565060274888566, terminated: False, truncated: False
distance_to_goal: 1.5656140675113441, terminated: False, truncated: False
distance_to_goal: 1.5658133568705712, terminated: False, truncated: False
distance_to_goal: 1.5648868973710144, terminated: False, truncated: False
distance_to_goal: 1.565193227679586, terminated: False, truncated: False
distance_to_goal: 1.5657092653494402, terminated: False, truncated: False
distance_to_goal: 1.5663713352017667, terminated: False, truncated: False
distance_to_goal: 1.5659650640656912, terminated: False, truncated: False
distance_to_goal: 1.5663661046986683, terminated: False, truncated: False
distance_to_goal: 1.5672639583149772, terminated: False, truncated: False
distance_to_goal: 1.5676130833433692, terminated: False, truncated: False
distance_to_goal: 1.5685175234179467, terminated: False, truncated: False
distance_to_goal: 1.5686642006751967, terminated: False, truncated: False
distance_to_goal: 1.5685787417649295, terminated: False, truncated: False
distance_to_goal: 1.5697225051985504, terminated: False, truncated: False
distance_to_goal: 1.5697977864108186, terminated: False, truncated: False
distance_to_goal: 1.5706415587095628, terminated: False, truncated: False
distance_to_goal: 1.5720412756366042, terminated: False, truncated: False
distance_to_goal: 1.5722523302732363, terminated: False, truncated: False
distance_to_goal: 1.5722255832538439, terminated: False, truncated: False
distance_to_goal: 1.5715448270093328, terminated: False, truncated: False
distance_to_goal: 1.5710596271394253, terminated: False, truncated: False
distance_to_goal: 1.5706537964480891, terminated: False, truncated: False
distance_to_goal: 1.5691255049306296, terminated: False, truncated: False
distance_to_goal: 1.5682568271999449, terminated: False, truncated: False
distance_to_goal: 1.5680038067034803, terminated: False, truncated: False
distance_to_goal: 1.566618969715167, terminated: False, truncated: False
distance_to_goal: 1.5644757595495493, terminated: False, truncated: False
distance_to_goal: 1.563442652522609, terminated: False, truncated: False
distance_to_goal: 1.5631480823470034, terminated: False, truncated: False
distance_to_goal: 1.5629967166859087, terminated: False, truncated: False
distance_to_goal: 1.5636411200882387, terminated: False, truncated: False
